Lot,Status,Area (m2),Purchaser,Stage,Length,Width,,Price,Expected
450,Sold,412,GJ Gardner,Stage 16,,,,,
451,Sold,367,Homes for Living,Stage 16,,,BUILDING PARTNERS,,
452,Sold,379,Cambridge Homes,Stage 16,,,Anthem Homes,,
453,Sold,391,Anthem Homes,Stage 16,,,Bennett Homes,,
454,Sold,322,Venture Developments,Stage 16,,,Cambridge Homes,,
455,Sold,330,Venture Developments,Stage 16,,,Classic Builders,,
456,Sold,559,Friendship Builders,Stage 16,,,Da-Silva Builders,,
457,Sold,345,Trilford Homes,Stage 16,,,E-Haus,,
458,Sold,345,NMS Homes Limited,Stage 16,,,Friendship Builders,,
459,Sold,345,Homes for Living,Stage 16,,,Generation Homes,,
460,Sold,345,Venture Developments,Stage 16,,,GJ Gardner,,
461,Sold,345,Homes for Living,Stage 16,,,Homes for Living,,
462,Sold,345,GJ Gardner,Stage 16,,,Jennian Homes,,
463,Sold,425,Homes for Living,Stage 16,,,Meikai Homes Ltd,,
464,Sold,300,Venture Developments,Stage 16,,,NMS Homes Limited,,
465,Sold,425,Bennett Homes,Stage 16,,,Trilford Homes,,
466,Sold,345,GJ Gardner,Stage 16,,,Venture Developments,,
467,Sold,345,Homes for Living,Stage 16,,,,,
468,Sold,345,Classic Builders,Stage 16,,,LINK FOR PURCHASER,,
469,Sold,345,Homes for Living,Stage 16,,,https://greenhillpark.rocketspark.co.nz/building-partners/,,
470,Sold,345,Classic Builders,Stage 16,,,,,
471,Sold,345,Bennett Homes,Stage 16,,,,,
472,Sold,490,Cambridge Homes,Stage 16,,,,,
473,Sold,441,Venture Developments,Stage 16,,,,,
474,Sold,447,GJ Gardner,Stage 16,,,,,
475,Sold,363,Meikai Homes Ltd,Stage 16,,,,,
476,Sold,428,Classic Builders,Stage 16,,,,,
477,Sold,434,Homes for Living,Stage 16,,,,,
478,Sold,400,Homes for Living,Stage 16,,,,,
479,Sold,400,Homes for Living,Stage 16,,,,,
480,Sold,396,Classic Builders,Stage 16,,,,,
8001,Sold,212,GJ Gardner,Stage 16,,,,,
8002,Sold,182,GJ Gardner,Stage 16,,,,,
8003,Sold,184,GJ Gardner,Stage 16,,,,,
8004,Sold,185,GJ Gardner,Stage 16,,,,,
8005,Sold,213,GJ Gardner,Stage 16,,,,,
8006,Sold,215,GJ Gardner,Stage 16,,,,,
8007,Sold,190,GJ Gardner,Stage 16,,,,,
